,Country,Species,Proportion
0,Panama,2,0.06451612903225806
1,Colombia,2,0.06451612903225806
2,Costa Rica,1,0.03225806451612903
3,Mexico,1,0.03225806451612903
4,Honduras,1,0.03225806451612903
5,Ecuador,4,0.12903225806451613
6,El Salvador,1,0.03225806451612903
7,Guatemala,1,0.03225806451612903
8,Nicaragua,1,0.03225806451612903
9,Peru,1,0.03225806451612903
10,Chile,27,0.8709677419354839
11,Solomon Islands,28,0.9032258064516129
12,Tuvalu,28,0.9032258064516129
13,Saudi Arabia,21,0.6774193548387096
14,"Taiwan, Province of China",28,0.9032258064516129
15,New Caledonia,28,0.9032258064516129
16,Papua New Guinea,28,0.9032258064516129
17,"Tanzania, United Republic of",20,0.6451612903225806
18,Egypt,21,0.6774193548387096
19,Eritrea,21,0.6774193548387096
20,Philippines,28,0.9032258064516129
21,Palau,27,0.8709677419354839
22,Pitcairn,26,0.8387096774193549
23,Somalia,21,0.6774193548387096
24,"Micronesia, Federated States of ",27,0.8709677419354839
25,Cambodia,22,0.7096774193548387
26,Kiribati,28,0.9032258064516129
27,Fiji,28,0.9032258064516129
28,Indonesia,28,0.9032258064516129
29,Marshall Islands,27,0.8709677419354839
30,Madagascar,23,0.7419354838709677
31,Nauru,27,0.8709677419354839
32,Thailand,28,0.9032258064516129
33,Viet Nam,27,0.8709677419354839
34,Jordan,20,0.6451612903225806
35,Vanuatu,28,0.9032258064516129
36,Japan,27,0.8709677419354839
37,Kenya,20,0.6451612903225806
38,Djibouti,21,0.6774193548387096
39,Sudan,21,0.6774193548387096
40,American Samoa,27,0.8709677419354839
41,Israel,20,0.6451612903225806
42,Samoa,27,0.8709677419354839
43,Mozambique,24,0.7741935483870968
44,Singapore,28,0.9032258064516129
45,India,26,0.8387096774193549
46,Malaysia,28,0.9032258064516129
47,Australia,28,0.9032258064516129
48,Yemen,21,0.6774193548387096
49,Cook Islands,21,0.6774193548387096
50,Sri Lanka,23,0.7419354838709677
51,French Polynesia,21,0.6774193548387096
52,Mayotte,22,0.7096774193548387
53,Norfolk Island,7,0.22580645161290322
54,Myanmar,25,0.8064516129032258
55,British Indian Ocean Territory,21,0.6774193548387096
56,South Africa,11,0.3548387096774194
57,R̩union,22,0.7096774193548387
58,Maldives,19,0.6129032258064516
59,Mauritius,25,0.8064516129032258
60,United States Minor Outlying Islands,23,0.7419354838709677
61,Tokelau,22,0.7096774193548387
62,Niue,22,0.7096774193548387
63,Tonga,23,0.7419354838709677
64,Seychelles,20,0.6451612903225806
65,Christmas Island,14,0.45161290322580644
66,Comoros,22,0.7096774193548387
67,Wallis and Futuna,26,0.8387096774193549
68,Cocos (Keeling) Islands,14,0.45161290322580644
69,China,7,0.22580645161290322
70,Pakistan,5,0.16129032258064516
71,Oman,12,0.3870967741935484
72,Northern Mariana Islands,20,0.6451612903225806
73,Guam,20,0.6451612903225806
74,New Zealand,2,0.06451612903225806
75,Bahrain,8,0.25806451612903225
76,Iraq,8,0.25806451612903225
77,"Iran, Islamic Republic of",8,0.25806451612903225
78,Kuwait,8,0.25806451612903225
79,United Arab Emirates,8,0.25806451612903225
80,Qatar,8,0.25806451612903225
